,esn,event_date,tk_egthdm_aft_sample,tk_egthdm_aft_aurora,tk_egthdm_aft_comparison,tk_egthdm_aft_difference
0,804705,2011-01-19,43.3017,43.3017,Matched,0.0
1,804705,2011-09-08,58.13405,58.13405,Matched,0.0
2,804705,2011-12-08,59.6413,59.6413,Matched,0.0
3,804705,2012-03-04,52.4134,52.4134,Matched,0.0
4,804705,2012-06-04,46.24835,46.24835,Matched,0.0
5,804705,2012-08-26,50.46979,50.46979,Matched,0.0
6,804705,2012-12-31,61.528584,61.528584,Matched,0.0
7,804705,2013-01-19,49.820286,49.820286,Matched,0.0
8,804705,2013-05-21,51.97905,51.97905,Matched,0.0
9,804705,2013-07-31,43.01275,43.01275,Matched,0.0
10,804705,2013-08-14,35.479874,35.479874,Matched,0.0
11,804705,2013-11-09,53.164814,52.789516,Not Matched,0.7109328299202455
12,804705,2014-01-18,,41.14332,Not Matched,41.14332
13,804705,2014-06-14,,30.445465,Not Matched,30.445465
14,804705,2014-10-31,,39.68351,Not Matched,39.68351
15,804705,2015-02-05,,,Not Matched,
16,804705,2015-02-17,,32.785004,Not Matched,32.785004
17,804705,2015-06-25,,44.17203,Not Matched,44.17203
18,804705,2015-10-23,,44.111755,Not Matched,44.111755
19,804705,2015-12-14,43.531883,43.531883,Matched,0.0
20,804705,2016-03-18,50.30385,50.30385,Matched,0.0
21,804705,2016-03-27,45.282093,45.282093,Matched,0.0
22,804705,2016-07-05,42.942,42.942,Matched,0.0
23,804705,2016-10-10,30.887085,30.887085,Matched,0.0
24,804705,2017-07-13,40.509033,40.509033,Matched,0.0
25,804705,2017-08-02,34.040375,34.040375,Matched,0.0
26,804705,2017-10-02,35.671253,35.671253,Matched,0.0
27,804705,2017-11-14,37.92932,37.052605,Not Matched,2.3661359302537495
28,804705,2017-12-06,32.949123,33.916496,Not Matched,2.852219757607042
29,804705,2017-12-22,43.86693,42.95332,Not Matched,2.1269834322469268
30,804705,2018-01-27,,31.29861,Not Matched,31.29861
31,804705,2018-03-11,,33.65065,Not Matched,33.65065
32,804705,2018-04-09,,33.98149,Not Matched,33.98149
33,804705,2018-05-13,,32.83193,Not Matched,32.83193
34,804705,2018-06-30,,23.911339,Not Matched,23.911339
35,804705,2018-07-20,,20.97155,Not Matched,20.97155
36,804705,2018-08-10,,31.347324,Not Matched,31.347324
37,804705,2018-09-10,,20.867044,Not Matched,20.867044
38,804705,2018-11-04,,35.433434,Not Matched,35.433434
39,804705,2018-12-31,32.982384,32.982384,Matched,0.0
40,804705,2019-02-11,25.336475,28.742146,Not Matched,11.849049128064417
41,804705,2019-03-28,33.01059,27.492964,Not Matched,20.06922934900726
42,804705,2019-05-10,,26.458405,Not Matched,26.458405
43,804705,2019-07-19,26.54853,26.2803,Not Matched,1.020650449195782
44,804705,2019-09-01,26.817554,26.817554,Matched,0.0
45,804705,2019-09-27,27.511826,27.511826,Matched,0.0
46,804705,2019-11-04,32.590538,32.590538,Matched,0.0
47,804705,2019-12-07,32.825603,33.38023,Not Matched,1.6615433746262276
48,804705,2020-02-08,,,Not Matched,
