,esn,event_date,tk_egthdm_bfr_sample,tk_egthdm_bfr_aurora,tk_egthdm_bfr_comparison,tk_egthdm_bfr_difference
0,804705,2011-01-19,,,Not Matched,
1,804705,2011-09-08,71.97885,71.97885,Matched,0.0
2,804705,2011-12-08,62.7203,62.7203,Matched,0.0
3,804705,2012-03-04,64.4174,64.4174,Matched,0.0
4,804705,2012-06-04,64.05415,64.05415,Matched,0.0
5,804705,2012-08-26,61.83255,61.83255,Matched,0.0
6,804705,2012-12-31,58.4658,58.4658,Matched,0.0
7,804705,2013-01-19,58.999065,58.999065,Matched,0.0
8,804705,2013-05-21,58.18782,58.18782,Matched,0.0
9,804705,2013-07-31,57.404396,57.404396,Matched,0.0
10,804705,2013-08-14,51.14255,51.14255,Matched,0.0
11,804705,2013-11-09,55.2144,55.2144,Matched,0.0
12,804705,2014-01-18,35.352245,35.352245,Matched,0.0
13,804705,2014-06-14,,49.27995,Not Matched,49.27995
14,804705,2014-10-31,,48.223396,Not Matched,48.223396
15,804705,2015-02-05,,47.81991,Not Matched,47.81991
16,804705,2015-02-17,,,Not Matched,
17,804705,2015-06-25,,43.103973,Not Matched,43.103973
18,804705,2015-10-23,,46.479843,Not Matched,46.479843
19,804705,2015-12-14,,42.60934,Not Matched,42.60934
20,804705,2016-03-18,46.912174,50.21031,Not Matched,6.568642973923083
21,804705,2016-03-27,49.96912,49.96912,Matched,0.0
22,804705,2016-07-05,45.874508,45.874508,Matched,0.0
23,804705,2016-10-10,49.66478,49.66478,Matched,0.0
24,804705,2017-07-13,49.290016,49.290016,Matched,0.0
25,804705,2017-08-02,36.23774,36.23774,Matched,0.0
26,804705,2017-10-02,39.290054,39.290054,Matched,0.0
27,804705,2017-11-14,41.83675,41.83675,Matched,0.0
28,804705,2017-12-06,38.98581,38.98581,Matched,0.0
29,804705,2017-12-22,29.475065,30.216885,Not Matched,2.4549850191374807
30,804705,2018-01-27,42.744495,42.469124,Not Matched,0.6484028255445057
31,804705,2018-03-11,,43.91116,Not Matched,43.91116
32,804705,2018-04-09,,40.640575,Not Matched,40.640575
33,804705,2018-05-13,,33.4238,Not Matched,33.4238
34,804705,2018-06-30,,38.513134,Not Matched,38.513134
35,804705,2018-07-20,,36.07889,Not Matched,36.07889
36,804705,2018-08-10,,37.81796,Not Matched,37.81796
37,804705,2018-09-10,,0.772865,Not Matched,0.772865
38,804705,2018-11-04,,38.546307,Not Matched,38.546307
39,804705,2018-12-31,,30.767706,Not Matched,30.767706
40,804705,2019-02-11,33.028076,37.97316,Not Matched,13.022576999122542
41,804705,2019-03-28,36.822025,36.822025,Matched,0.0
42,804705,2019-05-10,33.01059,25.63937,Not Matched,28.749614362599395
43,804705,2019-07-19,,29.65411,Not Matched,29.65411
44,804705,2019-09-01,27.19023,33.02352,Not Matched,17.664046715795283
45,804705,2019-09-27,30.741375,31.980804,Not Matched,3.8755404648363365
46,804705,2019-11-04,29.58744,29.58744,Matched,0.0
47,804705,2019-12-07,30.171555,30.171555,Matched,0.0
48,804705,2020-02-08,35.21783,35.21783,Matched,0.0
